Epoch [1/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [2/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [3/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [4/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [5/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [6/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [7/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [8/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [9/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [10/100], Training Loss (MSE): 0.0453, Validation Loss (MSE): 0.0471, Validation Loss (MAE): 0.1195
Epoch [11/100], Training Loss (MSE): 0.0304, Validation Loss (MSE): 0.0311, Validation Loss (MAE): 0.1004
Epoch [12/100], Training Loss (MSE): 0.0215, Validation Loss (MSE): 0.0216, Validation Loss (MAE): 0.0968
Epoch [13/100], Training Loss (MSE): 0.0175, Validation Loss (MSE): 0.0180, Validation Loss (MAE): 0.0860
Epoch [14/100], Training Loss (MSE): 0.0154, Validation Loss (MSE): 0.0164, Validation Loss (MAE): 0.0829
Epoch [15/100], Training Loss (MSE): 0.0145, Validation Loss (MSE): 0.0153, Validation Loss (MAE): 0.0757
Epoch [16/100], Training Loss (MSE): 0.0138, Validation Loss (MSE): 0.0146, Validation Loss (MAE): 0.0772
Epoch [17/100], Training Loss (MSE): 0.0136, Validation Loss (MSE): 0.0144, Validation Loss (MAE): 0.0766
Epoch [18/100], Training Loss (MSE): 0.0133, Validation Loss (MSE): 0.0141, Validation Loss (MAE): 0.0735
Epoch [19/100], Training Loss (MSE): 0.0130, Validation Loss (MSE): 0.0138, Validation Loss (MAE): 0.0729
